name,link,risk
Sundaram Focused Fund Direct Growth,https://groww.in/mutual-funds/sundaram-focused-fund-direct-growth,Very High Risk
Baroda BNP Paribas Banking and Financial Services Direct Growth,https://groww.in/mutual-funds/baroda-pioneer-banking-and-financial-services-fund-direct-growth,Very High Risk
Invesco India Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-flexi-cap-fund-direct-growth,Very High Risk
ITI Banking and Financial Services Fund Direct Growth,https://groww.in/mutual-funds/iti-banking-and-financial-services-fund-direct-growth,Very High Risk
Sundaram Dividend Yield Fund Direct Growth,https://groww.in/mutual-funds/sundaram-dividend-yield-fund-direct-growth,Very High Risk
ITI Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/iti-mid-cap-fund-direct-growth,Very High Risk
Taurus Discovery (Midcap) Fund Direct Growth,https://groww.in/mutual-funds/taurus-discovery-fund-direct-growth,Very High Risk
JM Midcap Fund Direct Growth,https://groww.in/mutual-funds/jm-midcap-fund-direct-growth,Very High Risk
Union Large & Midcap Fund Direct Growth,https://groww.in/mutual-funds/union-large-midcap-fund-direct-growth,Moderately High Risk
DSP Value Fund Direct Growth,https://groww.in/mutual-funds/dsp-value-fund-direct-growth,Very High Risk
ICICI Prudential Quant Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-quant-fund-direct-growth,Very High Risk
JM Large Cap Fund Direct Plan Growth,https://groww.in/mutual-funds/jm-equity-direct-growth,Very High Risk
Mahindra Manulife Focused Fund Direct Growth,https://groww.in/mutual-funds/mahindra-manulife-focused-equity-yojana-direct-growth,Very High Risk
Edelweiss Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/edelweiss-economic-resurgence-fund-direct-growth,Very High Risk
LIC MF Banking & Financial Services Fund Direct Growth,https://groww.in/mutual-funds/lic-mf-banking-financial-services-fund-direct-growth,Very High Risk
ITI Long Term Equity Fund Direct Growth,https://groww.in/mutual-funds/iti-long-term-equity-fund-direct-growth,Moderately High Risk
