Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,16072.746,Mirae Asset Focused Fund Direct Growth
Mphasis Ltd.,Technology,Equity,16072.746,Mirae Asset Focused Fund Direct Growth
FSN E-Commerce Ventures Ltd.,Services,Equity,15226.812,Mirae Asset Focused Fund Direct Growth
Zomato Ltd.,Services,Equity,13534.944,Mirae Asset Focused Fund Direct Growth
Bharat Electronics Ltd.,Capital Goods,Equity,10997.142,Mirae Asset Focused Fund Direct Growth
Britannia Industries Ltd.,Consumer Staples,Equity,7613.406,Mirae Asset Focused Fund Direct Growth
Muthoot Finance Ltd.,Financial,Equity,5921.538,Mirae Asset Focused Fund Direct Growth
Reliance Industries Ltd.,Energy,Equity,354.732,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
HDFC Bank Ltd.,Financial,Equity,320.29200000000003,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Infosys Ltd.,Technology,Equity,230.748,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Housing Development Finance Corporation Ltd.,Financial,Equity,213.528,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
ITC Ltd.,Consumer Staples,Equity,151.536,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Tata Consultancy Services Ltd.,Technology,Equity,148.09199999999998,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Larsen & Toubro Ltd.,Construction,Equity,117.096,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Kotak Mahindra Bank Ltd.,Financial,Equity,113.652,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
State Bank of India,Financial,Equity,89.544,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Bharti Airtel Ltd.,Communication,Equity,82.65599999999999,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Bajaj Finance Ltd.,Financial,Equity,68.88,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Asian Paints Ltd.,Chemicals,Equity,55.104,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Maruti Suzuki India Ltd.,Automobile,Equity,48.216,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,48.216,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Ultratech Cement Ltd.,Construction,Equity,41.328,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Tata Steel Ltd.,Metals & Mining,Equity,37.884,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
NTPC Ltd.,Energy,Equity,37.884,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Power Grid Corporation Of India Ltd.,Energy,Equity,34.44,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Tata Motors Ltd.,Automobile,Equity,34.44,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Nestle India Ltd.,Consumer Staples,Equity,30.996,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Indusind Bank Ltd.,Financial,Equity,30.996,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Tech Mahindra Ltd.,Technology,Equity,30.996,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Grasim Industries Ltd.,Construction,Equity,27.552,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Hindalco Industries Ltd.,Metals & Mining,Equity,27.552,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,24.108,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Wipro Ltd.,Technology,Equity,24.108,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Britannia Industries Ltd.,Consumer Staples,Equity,24.108,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
SBI Life Insurance Company Ltd.,Insurance,Equity,20.664,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
HDFC Life Insurance Co Ltd.,Insurance,Equity,20.664,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Adani Enterprises Ltd.,Services,Equity,20.664,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Adani Ports and Special Economic Zone Ltd.,Services,Equity,20.664,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Coal India Ltd.,Energy,Equity,20.664,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Bajaj Auto Ltd.,Automobile,Equity,20.664,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,20.664,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Tata Consumer Products Ltd.,Consumer Staples,Equity,20.664,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Eicher Motors Ltd.,Automobile,Equity,17.22,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
UPL Ltd.,Chemicals,Equity,17.22,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Divi's Laboratories Ltd.,Healthcare,Equity,17.22,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Bharat Petroleum Corporation Ltd.,Energy,Equity,13.776,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Hero Motocorp Ltd.,Automobile,Equity,13.776,IIFL ELSS Nifty 50 Tax Saver Index Fund Direct Growth
Infosys Ltd.,Technology,Equity,11836.05,Invesco India Multicap Fund Direct Growth
