Unnamed: 0,Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
2070,Ultratech Cement Ltd.,Construction,Equity,16720.112,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2073,Mahindra & Mahindra Ltd.,Automobile,Equity,12785.968,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2077,Max Financial Services Ltd.,Financial,Equity,11802.432,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2080,Dixon Technologies (India) Ltd.,Capital Goods,Equity,10818.896,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2081,Blue Star Ltd.,Consumer Discretionary,Equity,10818.896,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2083,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,9835.36,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2085,Bharat Petroleum Corporation Ltd.,Energy,Equity,8851.824,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2087,Birlasoft Ltd.,Technology,Equity,6884.752,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2088,Tech Mahindra Ltd.,Technology,Equity,5901.216,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2090,Cholamandalam Financial Holdings Ltd.,Financial,Equity,5901.216,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2095,Jubilant FoodWorks Ltd.,Services,Equity,2950.608,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth
2101,Infosys Ltd.,Technology,Equity,83127.627,UTI Mastershare Direct Growth
2102,Housing Development Finance Corporation Ltd.,Financial,Equity,80048.826,UTI Mastershare Direct Growth
2104,Reliance Industries Ltd.,Energy,Equity,43103.214,UTI Mastershare Direct Growth
2106,HDFC Bank Ltd.,Financial,Equity,43103.214,UTI Mastershare Direct Growth
2107,Tata Consultancy Services Ltd.,Technology,Equity,35919.345,UTI Mastershare Direct Growth
2108,Maruti Suzuki India Ltd.,Automobile,Equity,30788.01,UTI Mastershare Direct Growth
2109,Kotak Mahindra Bank Ltd.,Financial,Equity,28735.476,UTI Mastershare Direct Growth
2112,Ultratech Cement Ltd.,Construction,Equity,22577.874000000003,UTI Mastershare Direct Growth
2117,SKF India Ltd.,Capital Goods,Equity,18472.806,UTI Mastershare Direct Growth
2118,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,17446.539,UTI Mastershare Direct Growth
2120,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,16420.272,UTI Mastershare Direct Growth
2122,State Bank of India,Financial,Equity,14367.738,UTI Mastershare Direct Growth
2127,NTPC Ltd.,Energy,Equity,11288.937000000002,UTI Mastershare Direct Growth
2132,Tech Mahindra Ltd.,Technology,Equity,10262.67,UTI Mastershare Direct Growth
2133,Jubilant FoodWorks Ltd.,Services,Equity,9236.403,UTI Mastershare Direct Growth
2143,Blue Star Ltd.,Consumer Discretionary,Equity,6157.602,UTI Mastershare Direct Growth
2145,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,6157.602,UTI Mastershare Direct Growth
2155,NTPC Ltd.,Energy,Equity,929.775,HSBC Infrastructure Equity Fund Direct Growth
2156,Reliance Industries Ltd.,Energy,Equity,845.25,HSBC Infrastructure Equity Fund Direct Growth
2158,Bharat Electronics Ltd.,Capital Goods,Equity,591.6750000000001,HSBC Infrastructure Equity Fund Direct Growth
2159,Ultratech Cement Ltd.,Construction,Equity,543.375,HSBC Infrastructure Equity Fund Direct Growth
2178,Hindustan Petroleum Corporation Ltd.,Energy,Equity,193.2,HSBC Infrastructure Equity Fund Direct Growth
2186,Housing Development Finance Corporation Ltd.,Financial,Equity,8829.872,HDFC Housing Opportunities Fund Direct Growth
2188,HDFC Bank Ltd.,Financial,Equity,8191.567999999999,HDFC Housing Opportunities Fund Direct Growth
2189,NTPC Ltd.,Energy,Equity,7234.111999999999,HDFC Housing Opportunities Fund Direct Growth
2190,State Bank of India,Financial,Equity,6808.576,HDFC Housing Opportunities Fund Direct Growth
2194,Ultratech Cement Ltd.,Construction,Equity,3829.824,HDFC Housing Opportunities Fund Direct Growth
2206,Hindalco Industries Ltd.,Metals & Mining,Equity,1276.608,HDFC Housing Opportunities Fund Direct Growth
2208,Bank Of Baroda,Financial,Equity,1170.224,HDFC Housing Opportunities Fund Direct Growth
2210,Repco Home Finance Ltd.,Financial,Equity,957.456,HDFC Housing Opportunities Fund Direct Growth
2218,Can Fin Homes Ltd.,Financial,Equity,425.536,HDFC Housing Opportunities Fund Direct Growth
2223,Reliance Industries Ltd.,Energy,Equity,10444.962,Sundaram Diversified Equity Fund Direct Growth
2224,HDFC Bank Ltd.,Financial,Equity,9811.934,Sundaram Diversified Equity Fund Direct Growth
2225,Infosys Ltd.,Technology,Equity,8071.106999999999,Sundaram Diversified Equity Fund Direct Growth
2226,Housing Development Finance Corporation Ltd.,Financial,Equity,7121.565,Sundaram Diversified Equity Fund Direct Growth
2227,State Bank of India,Financial,Equity,6330.28,Sundaram Diversified Equity Fund Direct Growth
2228,Tata Consultancy Services Ltd.,Technology,Equity,5222.481,Sundaram Diversified Equity Fund Direct Growth
2233,Maruti Suzuki India Ltd.,Automobile,Equity,3639.911,Sundaram Diversified Equity Fund Direct Growth
2236,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,3165.14,Sundaram Diversified Equity Fund Direct Growth
2237,Jubilant FoodWorks Ltd.,Services,Equity,3165.14,Sundaram Diversified Equity Fund Direct Growth
2243,Ultratech Cement Ltd.,Construction,Equity,2532.112,Sundaram Diversified Equity Fund Direct Growth
