0,1,2,3
quant-flexi-cap-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,3.1
quant-flexi-cap-fund-direct-growth,National Aluminium Company Ltd.,Metals & Mining,2.9
tata-digital-india-fund-direct-growth,ITC Ltd.,Consumer Staples,5.9
tata-digital-india-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,4.6
tata-digital-india-fund-direct-growth,Linde India Ltd.,Chemicals,4.2
tata-digital-india-fund-direct-growth,TV18 Broadcast Ltd.,Services,4.1
tata-digital-india-fund-direct-growth,Arvind Ltd.,Textiles,3.9
tata-digital-india-fund-direct-growth,HFCL Ltd.,Communication,3.5
tata-digital-india-fund-direct-growth,The India Cements Ltd.,Construction,3.4
tata-digital-india-fund-direct-growth,Indiabulls Real Estate Ltd.,Construction,3.2
tata-digital-india-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,3.1
tata-digital-india-fund-direct-growth,National Aluminium Company Ltd.,Metals & Mining,2.9
edelweiss-small-cap-fund-direct-growth,ITC Ltd.,Consumer Staples,5.9
edelweiss-small-cap-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,4.6
edelweiss-small-cap-fund-direct-growth,Linde India Ltd.,Chemicals,4.2
edelweiss-small-cap-fund-direct-growth,TV18 Broadcast Ltd.,Services,4.1
edelweiss-small-cap-fund-direct-growth,Arvind Ltd.,Textiles,3.9
edelweiss-small-cap-fund-direct-growth,HFCL Ltd.,Communication,3.5
edelweiss-small-cap-fund-direct-growth,The India Cements Ltd.,Construction,3.4
edelweiss-small-cap-fund-direct-growth,Indiabulls Real Estate Ltd.,Construction,3.2
edelweiss-small-cap-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,3.1
edelweiss-small-cap-fund-direct-growth,National Aluminium Company Ltd.,Metals & Mining,2.9
axis-small-cap-fund-direct-growth,ITC Ltd.,Consumer Staples,5.9
axis-small-cap-fund-direct-growth,IRB Infrastructure Developers Ltd.,Construction,4.6
axis-small-cap-fund-direct-growth,Linde India Ltd.,Chemicals,4.2
axis-small-cap-fund-direct-growth,TV18 Broadcast Ltd.,Services,4.1
axis-small-cap-fund-direct-growth,Arvind Ltd.,Textiles,3.9
axis-small-cap-fund-direct-growth,HFCL Ltd.,Communication,3.5
axis-small-cap-fund-direct-growth,The India Cements Ltd.,Construction,3.4
axis-small-cap-fund-direct-growth,Indiabulls Real Estate Ltd.,Construction,3.2
axis-small-cap-fund-direct-growth,Hindustan Copper Ltd.,Metals & Mining,3.1
axis-small-cap-fund-direct-growth,National Aluminium Company Ltd.,Metals & Mining,2.9
mirae-asset-healthcare-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
mirae-asset-healthcare-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
mirae-asset-healthcare-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
mirae-asset-healthcare-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
mirae-asset-healthcare-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
mirae-asset-healthcare-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
mirae-asset-healthcare-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
mirae-asset-healthcare-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
mirae-asset-healthcare-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
mirae-asset-healthcare-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
dsp-healthcare-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
dsp-healthcare-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
dsp-healthcare-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
dsp-healthcare-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
dsp-healthcare-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
dsp-healthcare-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
dsp-healthcare-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
dsp-healthcare-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
dsp-healthcare-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
dsp-healthcare-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
sbi-it-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
sbi-it-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
sbi-it-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
sbi-it-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
sbi-it-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
sbi-it-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
sbi-it-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
sbi-it-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
sbi-it-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
sbi-it-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
nippon-india-small-cap-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
nippon-india-small-cap-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
nippon-india-small-cap-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
nippon-india-small-cap-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
nippon-india-small-cap-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
nippon-india-small-cap-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
nippon-india-small-cap-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
nippon-india-small-cap-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
nippon-india-small-cap-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
nippon-india-small-cap-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
tata-resources-energy-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
