Fund-name,invested-firm,industry,percentage
tata-digital-india-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
tata-digital-india-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
birla-sun-life-new-millennium-direct-growth,Westlife Foodworld Ltd,Services,3.4
birla-sun-life-new-millennium-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
birla-sun-life-new-millennium-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
birla-sun-life-new-millennium-direct-growth,The Federal Bank Ltd.,Financial,2.2
birla-sun-life-new-millennium-direct-growth,City Union Bank Ltd.,Financial,2.2
birla-sun-life-new-millennium-direct-growth,V-Mart Retail Ltd.,Services,2.2
birla-sun-life-new-millennium-direct-growth,Persistent Systems Ltd.,Technology,2.0
birla-sun-life-new-millennium-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
birla-sun-life-new-millennium-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
birla-sun-life-new-millennium-direct-growth,Can Fin Homes Ltd.,Financial,2.0
sbi-it-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
sbi-it-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
sbi-it-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
sbi-it-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
sbi-it-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
sbi-it-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
sbi-it-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
sbi-it-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
sbi-it-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
sbi-it-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
icici-prudential-indo-asia-equity-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
icici-prudential-indo-asia-equity-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
icici-prudential-indo-asia-equity-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
icici-prudential-indo-asia-equity-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
icici-prudential-indo-asia-equity-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
icici-prudential-indo-asia-equity-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
icici-prudential-indo-asia-equity-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
icici-prudential-indo-asia-equity-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
icici-prudential-indo-asia-equity-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
icici-prudential-indo-asia-equity-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
sbi-small-midcap-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
sbi-small-midcap-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
sbi-small-midcap-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
sbi-small-midcap-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
sbi-small-midcap-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
sbi-small-midcap-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
sbi-small-midcap-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
sbi-small-midcap-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
sbi-small-midcap-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
sbi-small-midcap-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
boi-axa-manufacturing-infrastructure-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
boi-axa-manufacturing-infrastructure-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
boi-axa-manufacturing-infrastructure-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
boi-axa-manufacturing-infrastructure-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
boi-axa-manufacturing-infrastructure-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
boi-axa-manufacturing-infrastructure-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
boi-axa-manufacturing-infrastructure-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
boi-axa-manufacturing-infrastructure-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
boi-axa-manufacturing-infrastructure-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
boi-axa-manufacturing-infrastructure-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
quant-large-and-mid-cap-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
quant-large-and-mid-cap-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
quant-large-and-mid-cap-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
quant-large-and-mid-cap-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
quant-large-and-mid-cap-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
quant-large-and-mid-cap-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
quant-large-and-mid-cap-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
quant-large-and-mid-cap-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
quant-large-and-mid-cap-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
quant-large-and-mid-cap-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
hdfc-small-cap-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
hdfc-small-cap-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
hdfc-small-cap-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
hdfc-small-cap-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
hdfc-small-cap-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
hdfc-small-cap-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
hdfc-small-cap-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
hdfc-small-cap-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
hdfc-small-cap-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
hdfc-small-cap-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
hsbc-small-cap-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
hsbc-small-cap-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
hsbc-small-cap-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
hsbc-small-cap-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
hsbc-small-cap-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
hsbc-small-cap-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
hsbc-small-cap-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
hsbc-small-cap-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
hsbc-small-cap-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
hsbc-small-cap-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
dsp-blackrock-micro-cap-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
dsp-blackrock-micro-cap-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
dsp-blackrock-micro-cap-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
dsp-blackrock-micro-cap-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
dsp-blackrock-micro-cap-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
dsp-blackrock-micro-cap-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
dsp-blackrock-micro-cap-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
dsp-blackrock-micro-cap-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
dsp-blackrock-micro-cap-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
dsp-blackrock-micro-cap-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
dsp-blackrock-world-mining-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
dsp-blackrock-world-mining-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
dsp-blackrock-world-mining-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
dsp-blackrock-world-mining-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
dsp-blackrock-world-mining-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
dsp-blackrock-world-mining-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
dsp-blackrock-world-mining-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
dsp-blackrock-world-mining-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
dsp-blackrock-world-mining-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
dsp-blackrock-world-mining-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
axis-small-cap-fund-direct-growth,Westlife Foodworld Ltd,Services,3.4
axis-small-cap-fund-direct-growth,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,3.2
axis-small-cap-fund-direct-growth,Kei Industries Ltd.,Capital Goods,2.6
axis-small-cap-fund-direct-growth,The Federal Bank Ltd.,Financial,2.2
axis-small-cap-fund-direct-growth,City Union Bank Ltd.,Financial,2.2
axis-small-cap-fund-direct-growth,V-Mart Retail Ltd.,Services,2.2
axis-small-cap-fund-direct-growth,Persistent Systems Ltd.,Technology,2.0
axis-small-cap-fund-direct-growth,JK Lakshmi Cement Ltd.,Construction,2.0
axis-small-cap-fund-direct-growth,Max Healthcare Institute Ltd.,Healthcare,2.0
axis-small-cap-fund-direct-growth,Can Fin Homes Ltd.,Financial,2.0
dsp-healthcare-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,16.3
dsp-healthcare-fund-direct-growth,Cipla Ltd.,Healthcare,9.1
dsp-healthcare-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,6.8
dsp-healthcare-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.4
dsp-healthcare-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,5.3
dsp-healthcare-fund-direct-growth,Procter & Gamble Health Ltd.,Healthcare,5.1
dsp-healthcare-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,4.3
dsp-healthcare-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,3.9
dsp-healthcare-fund-direct-growth,Indoco Remedies Ltd.,Healthcare,3.7
dsp-healthcare-fund-direct-growth,Vijaya Diagnostic Centre Ltd.,Healthcare,3.6
hsbc-midcap-equity-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,16.3
hsbc-midcap-equity-fund-direct-growth,Cipla Ltd.,Healthcare,9.1
hsbc-midcap-equity-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,6.8
hsbc-midcap-equity-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.4
hsbc-midcap-equity-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,5.3
hsbc-midcap-equity-fund-direct-growth,Procter & Gamble Health Ltd.,Healthcare,5.1
hsbc-midcap-equity-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,4.3
hsbc-midcap-equity-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,3.9
hsbc-midcap-equity-fund-direct-growth,Indoco Remedies Ltd.,Healthcare,3.7
hsbc-midcap-equity-fund-direct-growth,Vijaya Diagnostic Centre Ltd.,Healthcare,3.6
sbi-magnum-midcap-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,16.3
sbi-magnum-midcap-fund-direct-growth,Cipla Ltd.,Healthcare,9.1
sbi-magnum-midcap-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,6.8
sbi-magnum-midcap-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.4
sbi-magnum-midcap-fund-direct-growth,Lupin Ltd. - (Preference Shares),Healthcare,5.3
sbi-magnum-midcap-fund-direct-growth,Procter & Gamble Health Ltd.,Healthcare,5.1
sbi-magnum-midcap-fund-direct-growth,Alkem Laboratories Ltd.,Healthcare,4.3
sbi-magnum-midcap-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,3.9
